variable,desc,alias,level,section,scale,subscale,aggregate,aggregate_ref,type,required,condition,sum_type,MAX,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9
#,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS Scorer: 2020.01,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS: 6.3,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,MAX = ,,,63,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# STREETSCAPE,,,,,,,,,,MAX=,,,19,MIN=,-9,,,,,,,
Q_032,Estado de la acera,seg_acera_estado,segment,sidewalks,sidewalk_positive,good_sidewalk_quality,TRUE,,numeric,TRUE,,positive,2,"(>0, <=1)=1",(>=2)=2,*=0,,,,,,
Q_032_l,Estado de la acera - Lado izquierdo,seg_acera_estado_izq,segment,sidewalks,sidewalk_positive,good_sidewalk_quality,,Q_032,option,TRUE,,positive,,A=1:Muy Bueno,B=1:Bueno,C=0:Regular,D=0:Malo,E=0:Muy Malo,,,,
Q_032_r,Estado de la acera - Lado derecho,seg_acera_estado_der,segment,sidewalks,sidewalk_positive,good_sidewalk_quality,,Q_032,option,TRUE,,positive,,A=1:Muy Bueno,B=1:Bueno,C=0:Regular,D=0:Malo,E=0:Muy Malo,,,,
### Sidewalk width,,,,,,,,,,,,,2,,,,,,,,,
Q_030,Ancho de Acera,seg_acera_ancho,segment,sidewalks,sidewalk_positive,sidewalk_existence,TRUE,,numeric,TRUE,,positive,2,"(>0, <=1)=1",(>=2)=2,*=0,,,,,,
Q_030_l,Ancho acera - Lado izquierdo,seg_acera_ancho_izq,segment,sidewalks,sidewalk_positive,sidewalk_existence,,Q_030,numeric,TRUE,,positive,,(>2)=1,*=0,,,,,,,
Q_030_r,Ancho acera - Lado derecho,seg_acera_ancho_der,segment,sidewalks,sidewalk_positive,sidewalk_existence,,Q_030,numeric,TRUE,,positive,,(>2)=1,*=0,,,,,,,
### Buffer positivo,,,,,,,,,,,,,2,,,,,,,,,
Q_033,Buffer seguridad de Acera,seg_acera_buffer,segment,sidewalks,sidewalk_positive,sidewalk_buffer,TRUE,,numeric,TRUE,,positive,2,"(>0, <=1)=1",(>=2)=2,*=0,,,,,,
Q_033_l,Buffer seguridad - Lado izquierdo,seg_acera_buffer_izq,segment,sidewalks,sidewalk_positive,sidewalk_buffer,,Q_033,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
